Price,Sales_Rank,Title,Number_of_Reviews,Ratings,Author,Publication Date,Genre
16.5,29,Good to Great: Why Some Companies Make the Leap and Others Don't,0.082402315,4.5,Jim Collins,2009,Non Fiction
23.9,30,Eclipse (Twilight Sagas),0.182207517,4.7,Stephenie Meyer,2009,Fiction
13.2,31,Where the Wild Things Are,0.458261717,4.9,Maurice Sendak,2009,Fiction
20.72,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",0.088976739,4.6,Patrick Lencioni,2009,Non Fiction
8.77,33,Olive Kitteridge,0.164274665,4.3,Elizabeth Strout,2009,Fiction
11.74,34,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),0.039246018,4.7,Charlaine Harris,2009,Fiction
14.97,35,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",0.015870288,4.3,David Zinczenko,2009,Non Fiction
17.54,36,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",0.033273175,4.6,Steven D. Levitt,2009,Non Fiction
12.99,37,The Tipping Point: How Little Things Can Make a Big Difference,0.081385356,4.4,Malcolm Gladwell,2009,Non Fiction
16.48,38,Crazy Love: Overwhelmed by a Relentless God,0.026784691,4.7,Francis Chan,2009,Non Fiction
10.44,39,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",0.213489744,4.8,Rick Riordan,2009,Fiction
9.09,40,The Elegance of the Hedgehog,0.04921508,4.7,Muriel Barbery,2009,Fiction
9.8,41,"I, Alex Cross",0.045720179,4.6,James Patterson,2009,Fiction
22.8,42,The Girl Who Played with Fire (Millennium),0.152443566,4.7,Stieg Larsson,2009,Fiction
14.95,43,The Last Lecture,0.083777358,4.7,Randy Pausch,2009,Non Fiction
14.72,44,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,0.011974333,4.6,Gary Chapman,2009,Non Fiction
12.15,45,Watchmen,0.110232611,4.8,Alan Moore,2009,Fiction
19.99,46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,0.02328979,4.6,Stephen R. Covey,2009,Non Fiction
25,47,The Book of Basketball: The NBA According to The Sports Guy,0.019150338,4.7,Bill Simmons,2009,Non Fiction
16,48,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",0.000143234,4.6,Zhi Gang Sha,2009,Non Fiction
21.98,51,Diary of a Wimpy Kid Do-it-yourself Book,0.133508078,4.8,Jeff Kinney,2009,Fiction
15.71,52,Open: An Autobiography,0.123023376,4.7,Andre Agassi,2009,Non Fiction
9.78,53,Pride and Prejudice and Zombies,0.028603758,4.3,Jane Austen,2009,Fiction
10.95,54,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,0.012002979,4.3,"Lifetime Television,",2009,Non Fiction
9.54,55,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,0.012189183,4.4,Lisa Lillien,2009,Non Fiction
18.49,56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",0.168772201,4.7,Christopher McDougall,2009,Non Fiction
7.96,57,A Bold Fresh Piece of Humanity,0.010226882,4.7,Bill O'Reilly,2009,Non Fiction
14.52,58,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,0.077732898,4.8,Ree Drummond,2009,Non Fiction
6.99,59,The Book Thief,0.49395554,4.7,Markus Zusak,2009,Fiction
15.85,60,South of Broad,0.034863069,4.5,Pat Conroy,2009,Fiction
10.33,61,The Omnivore's Dilemma: A Natural History of Four Meals,0.051965166,4.6,Michael Pollan,2009,Non Fiction
20.58,62,The Host,0.138435316,4.6,Stephenie Meyer,2009,Fiction
9.79,63,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,0.012590237,4.3,Jillian Michaels,2009,Non Fiction
11.3,64,Ford County: Stories,0.060960238,4.4,John Grisham,2009,Fiction
9.06,65,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",0.014953592,4.6,Michelle Malkin,2009,Non Fiction
11.04,66,Blink: The Power of Thinking Without Thinking,0.123009052,4.5,Malcolm Gladwell,2009,Non Fiction
16.97,67,"Diary of a Wimpy Kid, Book 1",0.236908445,4.8,Jeff Kinney,2009,Fiction
15.2,68,The Graveyard Book,0.101452389,4.7,Neil Gaiman,2009,Fiction
12.15,69,An Echo in the Bone (Outlander),0.241248424,4.8,Diana Gabaldon,2009,Fiction
19.81,70,"The Gathering Storm (Wheel of Time, Book 12)",0.090050991,4.8,Robert Jordan,2009,Fiction
16.99,71,Dreams from My Father: A Story of Race and Inheritance,0.107869256,4.7,Barack Obama,2009,Non Fiction
14.49,72,Pirate Latitudes: A Novel,0.039919216,4.3,Michael Crichton,2009,Fiction
6.21,73,The Official SAT Study Guide: For the New SAT (tm),0.00310817,4.5,The College Board,2009,Non Fiction
24.95,74,Getting Things Done: The Art of Stress-Free Productivity,0.067119285,4.6,David Allen,2009,Non Fiction
10.5,75,How to Win Friends & Influence People,0.240661166,4.7,Dale Carnegie,2009,Non Fiction
12.15,76,The Official SAT Study Guide,0.021141286,4.4,The College Board,2009,Non Fiction
14.01,77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),0.046464994,4.6,Janet Evanovich,2009,Fiction
10.83,78,Sarah's Key,0.067806806,4.6,Tatiana de Rosnay,2009,Fiction
7.99,79,From Dead to Worse (Sookie Stackhouse/True Blood),0.029076429,4.7,Charlaine Harris,2009,Fiction
12.15,80,Wolf Hall,0.154090753,4.7,Hilary Mantel,2009,Fiction
22.6,81,The Hunger Games,0.611894122,4.7,Suzanne Collins,2009,Fiction
13.2,82,The Yankee Years,0.005371262,4.6,Joe Torre,2009,Non Fiction
23.95,83,Push: A Novel,0.020439441,4.6,Sapphire,2009,Fiction
14.95,84,The End of Overeating: Taking Control of the Insatiable American Appetite,0.012976968,4.3,David Kessler,2009,Non Fiction
11.52,85,The Lacuna: A Novel,0.024879684,4.3,Barbara Kingsolver,2009,Fiction
17.99,86,Crucial Conversations: Tools for Talking When Stakes are High,0.010341469,4.5,Kerry Patterson,2009,Non Fiction
10.97,87,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,0.030709293,4.7,Nicholas D. Kristof,2009,Non Fiction
11.95,88,The Associate,0.054085023,4.4,John Grisham,2009,Fiction
22.72,89,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,0.030637676,4.7,Jeff Hertzberg,2009,Non Fiction
9.99,90,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),0.003752721,4.5,Sarah Thomson,2009,Non Fiction
9.31,91,Pursuit of Honor,0.049773691,4.7,Vince Flynn,2009,Fiction
23.65,92,What the Dog Saw: And Other Adventures,0.029978801,4.6,Malcolm Gladwell,2009,Non Fiction
13.99,93,The Last Song,0.050804973,4.7,Nicholas Sparks,2009,Fiction
17.99,94,Atlas Shrugged,0.201773232,4.5,Ayn Rand,2009,Fiction
10.79,95,The White Tiger: A Novel,0.085410221,4.3,Aravind Adiga,2009,Fiction
17.89,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",0.010255529,4.7,Gallup,2009,Non Fiction
16.14,97,Same Kind of Different As Me,0.068623238,4.7,Ron Hall,2009,Fiction
12.85,98,U is for Undertow: A Kinsey Millhone Novel,0.039403575,4.6,Sue Grafton,2009,Fiction
9.49,99,Catching Fire (The Hunger Games),0.464205913,4.7,Suzanne Collins,2009,Fiction
11.93,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),0.15757133,4.7,Stieg Larsson,2010,Fiction
9.49,2,The Girl with the Dragon Tattoo (Millennium Series),0.220808984,4.5,Stieg Larsson,2010,Fiction
8.96,3,Decision Points,0.033645583,4.6,George W. Bush,2010,Non Fiction
13.78,4,The Help,0.258078377,4.8,Kathryn Stockett,2010,Fiction
11.12,5,The Girl Who Played with Fire (Millennium Series),0.152443566,4.7,Stieg Larsson,2010,Fiction
11.71,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",0.150953936,4.8,Jeff Kinney,2010,Fiction
18.29,7,StrengthsFinder 2.0,0.100721898,4.7,Gallup,2010,Non Fiction
9.08,8,Mockingjay (The Hunger Games),0.529735304,4.6,Suzanne Collins,2010,Fiction
13.92,9,Women Food and God: An Unexpected Path to Almost Everything,0.027457889,4.4,Geneen Roth,2010,Non Fiction
24.29,10,"Publication Manual of the American Psychological Association, 6th Edition",0.180818151,4.5,American Psychological Association,2010,Non Fiction
22,11,"Autobiography of Mark Twain, Vol. 1",0.008049731,4.4,Mark Twain,2010,Non Fiction
18.24,12,The Big Short: Inside the Doomsday Machine,0.083691417,4.7,Michael Lewis,2010,Non Fiction
11.57,13,Food Rules: An Eater's Manual,0.035006302,4.5,Michael Pollan,2010,Non Fiction
14.54,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",0.480964249,4.8,Laura Hillenbrand,2010,Non Fiction
9.03,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",0.04649364,4.6,Charlaine Harris,2010,Fiction
14.99,16,Sh*t My Dad Says,0.024793744,4.7,Justin Halpern,2010,Non Fiction
16.48,17,Crazy Love: Overwhelmed by a Relentless God,0.026784691,4.7,Francis Chan,2010,Non Fiction
10.59,18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),0.087587373,4.7,Stephenie Meyer,2010,Fiction
13.8,19,Life,0.06658932,4.6,Keith Richards,2010,Non Fiction
12,20,Cutting for Stone,0.096539475,4.6,Abraham Verghese,2010,Fiction
12.89,21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,0.00753409,4.5,Jon Stewart,2010,Non Fiction
12.15,22,The Official SAT Study Guide,0.021141286,4.4,The College Board,2010,Non Fiction
7.92,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",0.01873496,4.5,John Heilemann,2010,Non Fiction
14.19,24,The Immortal Life of Henrietta Lacks,0.241864329,4.7,Rebecca Skloot,2010,Non Fiction
14.53,25,"The Lost Hero (Heroes of Olympus, Book 1)",0.164704366,4.8,Rick Riordan,2010,Fiction
22.99,26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,0.011601925,4.5,Doug Lemov,2010,Non Fiction
16.04,27,Outliers: The Story of Success,0.317391429,4.7,Malcolm Gladwell,2010,Non Fiction
9.49,28,Catching Fire (The Hunger Games),0.464205913,4.7,Suzanne Collins,2010,Fiction
20.72,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",0.089463733,4.6,Patrick Lencioni,2010,Non Fiction
16.5,30,Good to Great: Why Some Companies Make the Leap and Others Don't,0.082402315,4.5,Jim Collins,2010,Non Fiction
11.49,31,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,0.049372637,4.4,Greg Mortenson,2010,Non Fiction
17,32,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",0.033745846,4.7,F. A. Hayek,2010,Non Fiction
9.35,33,The Confession: A Novel,0.112638937,4.4,John Grisham,2010,Fiction
16.97,34,"Delivering Happiness: A Path to Profits, Passion, and Purpose",0.045720179,4.6,Tony Hsieh,2010,Non Fiction
12.15,35,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,0.007548413,4.7,Larry Schweikart,2010,Non Fiction
10.44,36,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",0.213489744,4.8,Rick Riordan,2010,Fiction
16.99,37,Switch: How to Change Things When Change Is Hard,0.055316833,4.6,Chip Heath,2010,Non Fiction
9.8,38,The Art of Racing in the Rain: A Novel,0.234444826,4.7,Garth Stein,2010,Fiction
23.99,39,The 5 Love Languages: The Secret to Love That Lasts,0.099719262,4.7,Gary Chapman,2010,Non Fiction
9.07,40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",0.006889538,4.5,Glenn Beck,2010,Non Fiction
10.61,41,"The Red Pyramid (The Kane Chronicles, Book 1)",0.071258737,4.7,Rick Riordan,2010,Fiction
18.9,42,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),0.016801306,4.8,Rick Riordan,2010,Fiction
10.2,43,Little Bee: A Novel,0.026526871,4.7,Chris Cleave,2010,Fiction
15.79,44,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",0.018921164,4.8,Ina Garten,2010,Non Fiction
12.15,45,George Washington's Sacred Fire,0.008049731,4.6,Peter A. Lillback,2010,Non Fiction
9.21,46,Radical: Taking Back Your Faith from the American Dream,0.038343646,4.7,David Platt,2010,Non Fiction
21.49,47,"Towers of Midnight (Wheel of Time, Book Thirteen)",0.104202475,4.8,Robert Jordan,2010,Fiction
10.83,48,Sarah's Key,0.067806806,4.6,Tatiana de Rosnay,2010,Fiction
22.6,49,The Hunger Games,0.611894122,4.7,Suzanne Collins,2010,Fiction
19.99,51,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,0.02328979,4.6,Stephen R. Covey,2010,Non Fiction
12,52,Cleopatra: A Life,0.022000688,4.7,Stacy Schiff,2010,Non Fiction
12.23,53,Freedom: A Novel,0.038214736,4.7,Jonathan Franzen,2010,Fiction
17.48,54,Freedom,0.038214736,4.7,Jonathan Franzen,2010,Fiction
18.49,55,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",0.168772201,4.7,Christopher McDougall,2010,Non Fiction
16.98,56,Fall of Giants (The Century Trilogy),0.26715939,4.5,Ken Follett,2010,Fiction
9.49,57,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",0.120946488,4.4,Elizabeth Gilbert,2010,Non Fiction
9.27,58,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",0.120946488,4.4,Elizabeth Gilbert,2010,Non Fiction
27.57,59,Tao I: The Way of All Life,0.000544288,4.3,Zhi Gang Sha Dr.,2010,Non Fiction
9.65,60,Chelsea Chelsea Bang Bang,0.014251747,4.4,Chelsea Handler,2010,Non Fiction
8.58,61,Let the Great World Spin: A Novel,0.024750773,4.3,Colum McCann,2010,Fiction
14.52,62,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,0.077732898,4.8,Ree Drummond,2010,Non Fiction
12.99,63,The Tipping Point: How Little Things Can Make a Big Difference,0.081385356,4.4,Malcolm Gladwell,2010,Non Fiction
10.33,64,The Omnivore's Dilemma: A Natural History of Four Meals,0.051965166,4.6,Michael Pollan,2010,Non Fiction
12.15,65,The Belly Fat Cure: Discover the New Carb Swap Systemâ„¢ and Lose 4 to 9 lbs. Every Week,0.014624155,4.7,Jorge Cruise,2010,Non Fiction
7.99,66,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",0.198894236,4.8,Rick Riordan,2010,Fiction
13.39,67,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",0.270410794,4.5,Timothy Ferriss,2010,Non Fiction
19.59,68,"Full Dark, No Stars",0.048241091,4.6,Stephen King,2010,Fiction
11.37,69,Sizzling Sixteen (Stephanie Plum Novels),0.048284061,4.6,Janet Evanovich,2010,Fiction
15.99,70,The Grand Design,0.039246018,4.5,Stephen Hawking,2010,Fiction
15,71,The Overton Window ,0.018061762,4.6,Glenn Beck,2010,Fiction
7.53,72,"Jesus Calling, Padded Hardcover, with Scripture references",0.446115504,4.9,Sarah Young,2010,Non Fiction
12.6,73,Spoken from the Heart,0.008851839,4.6,Laura Bush,2010,Non Fiction
21.98,74,Diary of a Wimpy Kid Do-it-yourself Book,0.133508078,4.8,Jeff Kinney,2010,Fiction
15.5,75,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,0.055990031,4.7,Mark Nepo,2010,Non Fiction
12.15,76,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",0.107683053,4.8,Julia Child,2010,Non Fiction
14.77,77,Safe Haven,0.155852527,4.7,Nicholas Sparks,2010,Fiction
14.3,78,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",0.011501662,4.5,Daniel G. Amen,2010,Non Fiction
18.93,79,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",0.02180016,4.5,Alicia Silverstone,2010,Non Fiction
12.15,80,Decoded,0.020969405,4.7,Jay-Z,2010,Non Fiction
12.06,81,The Glass Castle: A Memoir (book),0.271513693,4.6,Jeannette Walls,2010,Non Fiction
13.4,82,The Shack: Where Tragedy Confronts Eternity,0.334335969,4.7,William P. Young,2010,Fiction
14.3,83,"Breaking Dawn (The Twilight Saga, Book 4)",0.241520568,4.7,Stephenie Meyer,2010,Fiction
23.23,84,Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),0.016958863,4.7,Charlaine Harris,2010,Fiction
10.42,85,The Guernsey Literary and Potato Peel Pie Society,0.212472786,4.7,Mary Ann Shaffer,2010,Fiction
13.49,86,Hotel on the Corner of Bitter and Sweet,0.088647301,4.6,Jamie Ford,2010,Fiction
15.96,87,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",0.093531569,4.4,Timothy Ferriss,2010,Non Fiction
17.99,88,Crucial Conversations: Tools for Talking When Stakes are High,0.010341469,4.5,Kerry Patterson,2010,Non Fiction
11.25,89,"Happy Ever After (Bride Quartet, Book 4)",0.030881173,4.7,Nora Roberts,2010,Fiction
24.33,90,A Guide to the Project Management Body of Knowledge,0.009682594,4.4,Project Management Institute,2010,Non Fiction
6.99,91,The Book Thief,0.49395554,4.7,Markus Zusak,2010,Fiction
13.49,92,The Catcher in the Rye,0.442233872,4.5,J. D. Salinger,2010,Fiction
24,93,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",0.075641687,4.7,Thomas Campbell,2010,Non Fiction
18.47,94,American Assassin: A Thriller (A Mitch Rapp Novel),0.11891257,4.6,Vince Flynn,2010,Fiction
13.99,95,Rework,0.085166724,4.5,Jason Fried,2010,Non Fiction
10.98,96,In Defense of Food: An Eater's Manifesto,0.037971239,4.6,Michael Pollan,2010,Non Fiction
12.92,97,Squirrel Seeks Chipmunk: A Modest Bestiary,0.012676177,4.7,David Sedaris,2010,Fiction
16.13,98,Who Moved My Cheese,0.239286124,4.6,Spencer Johnson,2010,Fiction
17.33,1,Steve Jobs,0.182336427,4.7,Walter Isaacson,2011,Non Fiction
10.24,2,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,0.248052022,4.7,Todd Burpo,2011,Non Fiction
10.99,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",0.158659906,4.8,Jeff Kinney,2011,Fiction
18.29,4,StrengthsFinder 2.0,0.100721898,4.7,Gallup,2011,Non Fiction
11.69,5,The Hunger Games (Book 1),0.611894122,4.7,Suzanne Collins,2011,Fiction
14.54,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",0.480964249,4.8,Laura Hillenbrand,2011,Non Fiction
15,7,Inheritance: Book IV (Inheritance Cycle),0.128337344,4.7,Christopher Paolini,2011,Fiction
14.35,8,Go the F**k to Sleep,0.289231695,4.8,Adam Mansbach,2011,Fiction
9.08,9,Mockingjay (The Hunger Games),0.529735304,4.6,Suzanne Collins,2011,Fiction
12.15,10,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,0.090294488,4.6,George R.R. Martin,2011,Fiction
9.49,11,Catching Fire (The Hunger Games),0.464205913,4.7,Suzanne Collins,2011,Fiction
16.97,12,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,0.043743554,4.3,Mike Moreno,2011,Non Fiction
24.31,13,A Dance with Dragons (A Song of Ice and Fire),0.246390512,4.5,George R. R. Martin,2011,Fiction
9.99,14,"The Son of Neptune (Heroes of Olympus, Book 2)",0.166251289,4.8,Rick Riordan,2011,Fiction
9.99,15,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),0.154678011,4.7,Bill O'Reilly,2011,Non Fiction
24.29,16,"Publication Manual of the American Psychological Association, 6th Edition",0.180818151,4.5,American Psychological Association,2011,Non Fiction
9.98,17,The Help,0.258078377,4.8,Kathryn Stockett,2011,Fiction
12.1,18,The Immortal Life of Henrietta Lacks,0.241864329,4.7,Rebecca Skloot,2011,Non Fiction
16.43,19,11/22/63: A Novel,0.043901111,4.7,Stephen King,2011,Fiction
12.15,20,The Official SAT Study Guide,0.021141286,4.4,The College Board,2011,Non Fiction
7.53,21,"Jesus Calling, Padded Hardcover, with Scripture references",0.446115504,4.9,Sarah Young,2011,Non Fiction
12.15,22,The Hunger Games Trilogy Boxed Set,0.38866449,4.8,Suzanne Collins,2011,Fiction
12,23,Cutting for Stone,0.096539475,4.6,Abraham Verghese,2011,Fiction
10.28,24,Tina Fey: Bossypants,0.116291395,4.3,Tina Fey,2011,Non Fiction
15.96,25,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",0.093531569,4.4,Timothy Ferriss,2011,Non Fiction
14.49,26,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",0.107983843,4.5,Eric Larson,2011,Non Fiction
23.99,27,The 5 Love Languages: The Secret to Love That Lasts,0.099719262,4.7,Gary Chapman,2011,Non Fiction
16.48,28,Crazy Love: Overwhelmed by a Relentless God,0.026784691,4.7,Francis Chan,2011,Non Fiction
18.19,29,A Stolen Life: A Memoir,0.087444139,4.7,Jaycee Dugard,2011,Non Fiction
11.93,30,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),0.15757133,4.7,Stieg Larsson,2011,Fiction
11.28,31,Water for Elephants: A Novel,0.069797754,4.5,Sara Gruen,2011,Fiction
20.72,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",0.089463733,4.6,Patrick Lencioni,2011,Non Fiction
12.8,33,The Lego Ideas Book: Unlock Your Imagination,0.140898934,4.5,Daniel Lipkowitz,2011,Non Fiction
17.12,34,One Thousand Gifts: A Dare to Live Fully Right Where You Are,0.063939498,4.6,Ann Voskamp,2011,Non Fiction
19.99,35,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,0.02328979,4.6,Stephen R. Covey,2011,Non Fiction
13.91,36,"The Throne of Fire (The Kane Chronicles, Book 2)",0.054013407,4.8,Rick Riordan,2011,Fiction
9.99,37,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",0.050375272,4.5,Charlaine Harris,2011,Fiction
16.5,38,Good to Great: Why Some Companies Make the Leap and Others Don't,0.082402315,4.5,Jim Collins,2011,Non Fiction
19,39,The Litigators,0.164102784,4.5,John Grisham,2011,Fiction
20.65,40,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",0.030394179,4.4,Rob Bell,2011,Non Fiction
10.49,41,The Help,0.258078377,4.8,Kathryn Stockett,2011,Fiction
23.87,42,"Thinking, Fast and Slow",0.425146098,4.6,Daniel Kahneman,2011,Non Fiction
15.99,43,The Paris Wife: A Novel,0.074968489,4.4,Paula McLain,2011,Fiction
9.21,44,Radical: Taking Back Your Faith from the American Dream,0.038343646,4.7,David Platt,2011,Non Fiction
9.8,45,The Art of Racing in the Rain: A Novel,0.234444826,4.7,Garth Stein,2011,Fiction
22.99,46,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,0.011601925,4.5,Doug Lemov,2011,Non Fiction
12.99,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",0.141801306,4.5,Joel Fuhrman MD,2011,Non Fiction
24,48,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",0.075641687,4.7,Thomas Campbell,2011,Non Fiction
18,49,What to Expect When You're Expecting,0.420233184,4.8,Heidi Murkoff,2011,Non Fiction
18.89,51,The Best of Me,0.125859402,4.6,Nicholas Sparks,2011,Fiction
13.08,52,Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,0.008866162,4.4,Jacqueline Kennedy,2011,Non Fiction
9.49,53,The Girl with the Dragon Tattoo (Millennium Series),0.220808984,4.5,Stieg Larsson,2011,Fiction
25.41,54,The Greater Journey: Americans in Paris,0.023547611,4.5,David McCullough,2011,Non Fiction
16.99,55,Switch: How to Change Things When Change Is Hard,0.055316833,4.6,Chip Heath,2011,Non Fiction
11.99,56,Every Thing On It,0.024392689,4.9,Shel Silverstein,2011,Fiction
10.41,57,Miss Peregrine's Home for Peculiar Children,0.188653031,4.5,Ransom Riggs,2011,Fiction
